Id,Id Z-Score,MSSubClass,MSSubClass Z-Score,OverallQual,OverallQual Z-Score
1242,1.195665479904861,20,-0.8482523005069472,7,0.6793016200903408
1233,1.1737621645461789,90,0.7852459398090447,4,-1.4065784825412064
1401,1.582624051241579,50,-0.14818162608580787,6,-0.01599174745350831
1377,1.5242152102850934,30,-0.6148954090332341,6,-0.01599174745350831
208,-1.3207820846370668,20,-0.8482523005069472,4,-1.4065784825412064
1392,1.560720735882897,90,0.7852459398090447,5,-0.7112851149973574
980,0.5580356327965582,20,-0.8482523005069472,5,-0.7112851149973574
484,-0.6490804136374806,120,1.4853166142301841,6,-0.01599174745350831
392,-0.8729809706373427,60,0.08517526538790526,6,-0.01599174745350831
730,-0.05038979383350166,30,-0.6148954090332341,4,-1.4065784825412064
255,-1.2063981044306156,20,-0.8482523005069472,5,-0.7112851149973574
1094,0.8354776273398655,20,-0.8482523005069472,5,-0.7112851149973574
1021,0.6578174027638881,20,-0.8482523005069472,4,-1.4065784825412064
1341,1.4366019488503647,20,-0.8482523005069472,4,-1.4065784825412064
1025,0.667552209589969,20,-0.8482523005069472,8,1.3745949876341899
848,0.2367870075358866,20,-0.8482523005069472,5,-0.7112851149973574
457,-0.7147903597135271,70,0.3185321568616184,5,-0.7112851149973574
1266,1.2540743208613467,160,2.418744180125037,7,0.6793016200903408
695,-0.13556935356171004,50,-0.14818162608580787,5,-0.7112851149973574
24,-1.7685831986367908,120,1.4853166142301841,5,-0.7112851149973574
1314,1.3708920027743183,60,0.08517526538790526,9,2.069888355178039
514,-0.5760693624418735,20,-0.8482523005069472,6,-0.01599174745350831
1068,0.7722013829703394,60,0.08517526538790526,6,-0.01599174745350831
1423,1.6361654887850243,120,1.4853166142301841,6,-0.01599174745350831
1258,1.2346047072091848,30,-0.6148954090332341,5,-0.7112851149973574
620,-0.318096981550728,60,0.08517526538790526,8,1.3745949876341899
1213,1.125088130415774,30,-0.6148954090332341,4,-1.4065784825412064
71,-1.6541992184303396,20,-0.8482523005069472,7,0.6793016200903408
732,-0.04552239042046118,80,0.5518890483353315,7,0.6793016200903408
700,-0.12340084502910885,120,1.4853166142301841,7,0.6793016200903408
532,-0.5322627317245091,70,0.3185321568616184,6,-0.01599174745350831
1326,1.4000964232525612,30,-0.6148954090332341,4,-1.4065784825412064
988,0.5775052464487201,20,-0.8482523005069472,9,2.069888355178039
590,-0.3911080327463352,40,-0.381538517559521,5,-0.7112851149973574
916,0.4022787235792629,160,2.418744180125037,4,-1.4065784825412064
303,-1.089580422517644,20,-0.8482523005069472,7,0.6793016200903408
507,-0.5931052743875151,60,0.08517526538790526,8,1.3745949876341899
1416,1.6191295768393827,120,1.4853166142301841,7,0.6793016200903408
919,0.40957982869882364,60,0.08517526538790526,7,0.6793016200903408
1240,1.1907980764918205,20,-0.8482523005069472,8,1.3745949876341899
444,-0.7464284818982901,120,1.4853166142301841,7,0.6793016200903408
1206,1.1080522184701325,20,-0.8482523005069472,7,0.6793016200903408
831,0.19541407852504253,20,-0.8482523005069472,6,-0.01599174745350831
827,0.1856792716989616,45,-0.26486007182266447,5,-0.7112851149973574
1319,1.3830605113069194,20,-0.8482523005069472,8,1.3745949876341899
1053,0.7356958573725357,60,0.08517526538790526,6,-0.01599174745350831
83,-1.6249947979520967,20,-0.8482523005069472,8,1.3745949876341899
368,-0.9313898115938284,80,0.5518890483353315,6,-0.01599174745350831
699,-0.12583454673562908,20,-0.8482523005069472,5,-0.7112851149973574
1244,1.2005328833179014,20,-0.8482523005069472,10,2.7651817227218882
103,-1.5763207638216918,90,0.7852459398090447,5,-0.7112851149973574
61,-1.678536235495542,20,-0.8482523005069472,6,-0.01599174745350831
1150,0.9717649229049989,70,0.3185321568616184,7,0.6793016200903408
235,-1.2550721385610202,60,0.08517526538790526,6,-0.01599174745350831
853,0.24895551606848781,75,0.43521060259847494,7,0.6793016200903408
1131,0.9255245904811145,50,-0.14818162608580787,4,-1.4065784825412064
610,-0.34243399861593043,20,-0.8482523005069472,4,-1.4065784825412064
1080,0.8014058034485823,20,-0.8482523005069472,5,-0.7112851149973574
954,0.494759388427032,60,0.08517526538790526,5,-0.7112851149973574
329,-1.0263041781481177,75,0.43521060259847494,6,-0.01599174745350831
333,-1.0165693713220367,20,-0.8482523005069472,8,1.3745949876341899
946,0.4752897747748701,50,-0.14818162608580787,5,-0.7112851149973574
702,-0.11853344161606837,20,-0.8482523005069472,7,0.6793016200903408
505,-0.5979726778005555,160,2.418744180125037,6,-0.01599174745350831
389,-0.8802820757569033,20,-0.8482523005069472,7,0.6793016200903408
1234,1.176195866252699,20,-0.8482523005069472,5,-0.7112851149973574
687,-0.15503896721387198,60,0.08517526538790526,7,0.6793016200903408
1015,0.6432151925247667,20,-0.8482523005069472,6,-0.01599174745350831
1187,1.0618118860462478,190,3.118814854546176,3,-2.1018718500850557
219,-1.294011365865344,50,-0.14818162608580787,7,0.6793016200903408
28,-1.7588483918107098,20,-0.8482523005069472,8,1.3745949876341899
900,0.36333949627493906,20,-0.8482523005069472,5,-0.7112851149973574
1169,1.0180052553288834,70,0.3185321568616184,6,-0.01599174745350831
205,-1.3280831897566274,50,-0.14818162608580787,5,-0.7112851149973574
1121,0.901187573415912,30,-0.6148954090332341,6,-0.01599174745350831
1406,1.5947925597741803,120,1.4853166142301841,8,1.3745949876341899
834,0.20271518364460325,20,-0.8482523005069472,6,-0.01599174745350831
920,0.4120135304053439,20,-0.8482523005069472,6,-0.01599174745350831
395,-0.865679865517782,50,-0.14818162608580787,5,-0.7112851149973574
1106,0.8646820478181084,60,0.08517526538790526,8,1.3745949876341899
1143,0.9547290109593572,60,0.08517526538790526,8,1.3745949876341899
733,-0.04308868871394094,60,0.08517526538790526,7,0.6793016200903408
